SERIALNUMBER,SERVICEAREA,SERVICETYPE,SYMPTOMCODE
371042700921,ITA_043 : DISTRETTO 2,Standard Repair,Control panel display fault - NA
151537009617,ITA_008 : DISTRETTO 8,Standard Repair,Control panel display fault - NA
407210114,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not heat
999999999,ITA_030 : DISTRETTO 1,Standard Repair,Door will not Close
Not assigned,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
371426016899,ITA_0MI : LAB_MI,Product Substitution,Oven door not aligned
405120170,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
151642004233,ITA_017 : DISTRETTO 3,Standard Repair,Too noisy
606040792,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not switch on
105122325,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Oven does not switch on
610101396,ITA_017 : DISTRETTO 3,Installation,Outer glass broken - PREORD - NA
604050086,ITA_092 : DISTRETTO 5,Standard Repair,Door will not Open
371143700658,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
151515002840,ITA_017 : DISTRETTO 3,Product Substitution,Outer glass broken - PREORD - NA
151602007740,ITA_030 : DISTRETTO 1,Product Substitution,Door will not Open
371414003475,ITA_071 : DISTRETTO 6,Standard Repair,Outer glass broken - PREORD - NA
151520001465,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
610101331,ITA_088 : DISTRETTO 7,Standard Repair,Emergency cut-out triggers
151536003352,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
610219739,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
371323701058,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
151523000829,ITA_006 : DISTRETTO 4,Standard Repair,Door will not Close
604160047,ITA_043 : DISTRETTO 2,Product Substitution,Accessories / components / parts - broke
371035700614,ITA_092 : DISTRETTO 5,Standard Repair,It doesn't cook
151647001470,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
151518000523,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
371339003952,ITA_0MI : LAB_MI,Product Substitution,Oven door not aligned
605030430,ITA_088 : DISTRETTO 7,Standard Repair,Door will not Close
151621006928,ITA_030 : DISTRETTO 1,Non funz 1°utilizzo,Not assigned
999999999,ITA_092 : DISTRETTO 5,Installation,Other problem
999999999,ITA_071 : DISTRETTO 6,Installation,Oven door not aligned
371003701186,ITA_030 : DISTRETTO 1,Standard Repair,Oven door not aligned
603020161,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
999999999,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
309050025,ITA_088 : DISTRETTO 7,Standard Repair,Burnt fuse
151638003769,ITA_088 : DISTRETTO 7,Product Substitution,Oven door not aligned
151610004503,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not heat
604050123,ITA_030 : DISTRETTO 1,Special Authorizatio,Oven does not switch on
371302305320,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
371038700478,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
371424007943,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
391409002228,ITA_009 : DISTRETTO 9,Standard Repair,Door will not Close
421325014552,ITA_092 : DISTRETTO 5,Standard Repair,Turntable not rotating - NOT AVOID - NA
371349011548,ITA_017 : DISTRETTO 3,Non funz 1°utilizzo,Not assigned
412041083,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not switch on
151629003520,ITA_043 : DISTRETTO 2,Standard Repair,Automatic programs duration time
151610000201,ITA_006 : DISTRETTO 4,Standard Repair,Oven door not aligned
370920700632,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
605170074,ITA_071 : DISTRETTO 6,Product Substitution,Oven does not switch on
421532011009,ITA_071 : DISTRETTO 6,Standard Repair,F2E1 on display
999999999,ITA_043 : DISTRETTO 2,Standard Repair,Component is dented / damaged
151625001754,ITA_0MI : LAB_MI,Standard Repair,Door will not Close
371040306195,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
606015767,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Open
151701000462,ITA_030 : DISTRETTO 1,Standard Repair,Accessories / components / parts - broke
501290412,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
999999999,ITA_017 : DISTRETTO 3,Installation,Outer glass broken - PREORD - NA
151538006129,ITA_043 : DISTRETTO 2,Complex Repair,Outer glass broken - PREORD - NA
Not assigned,ITA_043 : DISTRETTO 2,Standard Repair,Accessories / components / parts - broke
421510004262,ITA_092 : DISTRETTO 5,Standard Repair,Emergency cut-out triggers
151614500029,ITA_017 : DISTRETTO 3,Standard Repair,Door will not Close
501060168,ITA_088 : DISTRETTO 7,Product Substitution,Oven door not aligned
412250075,ITA_008 : DISTRETTO 8,Standard Repair,Oven door not aligned
512030192,ITA_043 : DISTRETTO 2,Standard Repair,Door will not Open
421214008571,ITA_071 : DISTRETTO 6,Standard Repair,Accessories / components / parts - broke
371109303427,ITA_017 : DISTRETTO 3,Standard Repair,Outer glass broken - PREORD - NA
610100934,ITA_030 : DISTRETTO 1,Installation,Product installation request - NA
151619003075,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
371236701562,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
371351005188,ITA_006 : DISTRETTO 4,Built In Free Test,Outer door dented/damaged - PREORD - NA
999999999,ITA_043 : DISTRETTO 2,R+1 Std (Maytag),Oven door not aligned
606041034,ITA_008 : DISTRETTO 8,Standard Repair,Door will not Open
151620005964,ITA_017 : DISTRETTO 3,Product Substitution,Outer glass broken - PREORD - NA
511190177,ITA_030 : DISTRETTO 1,Standard Repair,Oven does not switch on
602011236,ITA_088 : DISTRETTO 7,Standard Repair,Oven door not aligned
151542007925,ITA_088 : DISTRETTO 7,Standard Repair,Control panel display fault - NA
999999999,ITA_071 : DISTRETTO 6,Installation,Oven does not switch on
410150119,ITA_088 : DISTRETTO 7,Standard Repair,Outer glass broken - PREORD - NA
151635003875,ITA_009 : DISTRETTO 9,Standard Repair,Outer glass broken - PREORD - NA
371418011238,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not heat
511050147,ITA_006 : DISTRETTO 4,Standard Repair,Oven does not switch on
151508004260,ITA_043 : DISTRETTO 2,Standard Repair,Oven light dims
505160041,ITA_088 : DISTRETTO 7,Installation,Oven door not aligned
151546009749,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
601120018,ITA_088 : DISTRETTO 7,Installation,Door will not Close
370546700006,ITA_043 : DISTRETTO 2,Standard Repair,Oven door not aligned
431021012072,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
999999999,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
370947702884,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
701107212,ITA_088 : DISTRETTO 7,Standard Repair,Automatic programs duration time
151627003317,ITA_017 : DISTRETTO 3,Installation,Outer glass broken - PREORD - NA
610101325,ITA_008 : DISTRETTO 8,Special Authorizatio,Oven door not aligned
371217305538,ITA_088 : DISTRETTO 7,Standard Repair,Sparks during cooking
999999999,ITA_088 : DISTRETTO 7,No accessories,Not assigned
999999999,ITA_088 : DISTRETTO 7,No accessories,Not assigned
999999999,ITA_092 : DISTRETTO 5,Standard Repair,Accessories / components / parts - broke
608180021,ITA_030 : DISTRETTO 1,Standard Repair,Door will not Open
601120177,ITA_092 : DISTRETTO 5,Standard Repair,Accessories / components / parts - broke
371148700883,ITA_0MI : LAB_MI,Complex Repair,APP shows error 1027
221,ITA_006 : DISTRETTO 4,Standard Repair,Oven light dims
151547008460,ITA_017 : DISTRETTO 3,Complex Repair,Door will not Open
999999999,ITA_088 : DISTRETTO 7,Non funz 1°utilizzo,Not assigned
610219691,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not switch on
151621006938,ITA_071 : DISTRETTO 6,Standard Repair,Oven does not switch on
151602007744,ITA_017 : DISTRETTO 3,Non funz 1°utilizzo,Not assigned
421435002864,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
151628006056,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
609291234,ITA_030 : DISTRETTO 1,Product Substitution,Outer glass damaged - PREORD - NA
999999999,ITA_043 : DISTRETTO 2,Standard Repair,Appliance safety check / check-up - NA
602230560,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
412250124,ITA_017 : DISTRETTO 3,Standard Repair,Oven door not aligned
999999999,ITA_088 : DISTRETTO 7,Standard Repair,Fan
999999999,ITA_006 : DISTRETTO 4,Installation,Outer glass broken - PREORD - NA
371341011289,ITA_017 : DISTRETTO 3,Product Substitution,Door will not Close
999999999,ITA_043 : DISTRETTO 2,Installation,Oven door not aligned
151618002212,ITA_006 : DISTRETTO 4,Dif da Logistica WH,Not assigned
999999999,ITA_071 : DISTRETTO 6,Installation,Use for JLP bulk booking's - NA
603161190,ITA_043 : DISTRETTO 2,Non funz 1°utilizzo,Not assigned
151512003194,ITA_017 : DISTRETTO 3,Dif estetici esposiz,Door will not Open
512030027,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
512030028,ITA_017 : DISTRETTO 3,Dif da Logistica WH,Door will not Open
604050241,ITA_088 : DISTRETTO 7,Product Substitution,Front panel damaged / dented - PREORD -
303090020,ITA_009 : DISTRETTO 9,Standard Repair,Front panel damaged / dented - PREORD -
601191182,ITA_009 : DISTRETTO 9,Standard Repair,Oven door not aligned
301290128,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Oven door not aligned
903230365,ITA_092 : DISTRETTO 5,Standard Repair,Front panel damaged / dented - PREORD -
606230064,ITA_043 : DISTRETTO 2,Standard Repair,Front panel damaged / dented - PREORD -
151604009877,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
421518007996,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
371341008670,ITA_008 : DISTRETTO 8,Standard Repair,Front panel damaged / dented - PREORD -
151521006004,ITA_043 : DISTRETTO 2,Standard Repair,Oven does not heat
509030580,ITA_043 : DISTRETTO 2,Product Substitution,Front panel damaged / dented - PREORD -
151603005385,ITA_071 : DISTRETTO 6,Standard Repair,Oven door not aligned
221220000001,ITA_030 : DISTRETTO 1,Standard Repair,Other problem
151612005385,ITA_043 : DISTRETTO 2,Product Substitution,Front panel damaged / dented - PREORD -
999999999,ITA_017 : DISTRETTO 3,Standard Repair,Other problem
501060109,ITA_088 : DISTRETTO 7,Product Substitution,Outer glass broken - PREORD - NA
